Team,Pld,W,D,L,GF,GA,GD,Pts,
Standard de Liège,30,20,7,3,59,17,42,67,
Club Brugge KV,30,19,6,5,54,28,26,63,
RSC Anderlecht,30,18,3,9,61,31,30,57,
SV Zulte-Waregem,30,14,11,5,51,38,13,53,
Sporting Lokeren,30,15,6,9,48,31,17,51,
KRC Genk,30,14,3,13,42,39,3,45,
KAA Gent,30,12,8,10,39,37,2,44,
KV Kortrijk,30,10,9,11,42,44,−2,39,
KV Oostende,30,9,7,14,28,46,−18,34,
Sporting Charleroi,30,8,10,12,36,41,−5,34,
KSV Cercle Brugge,30,9,6,15,29,55,−26,33,
Lierse SK,30,9,5,16,36,53,−17,32,
KV Mechelen,30,8,7,15,34,51,−17,31,
Waasland-Beveren,30,6,13,11,28,35,−7,31,
Oud-Heverlee Leuven,30,6,9,15,30,47,−17,27,
RAEC Mons,30,6,4,20,29,53,−24,22,
